Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1999-03-10,43.959994639439856,43.98686505181115,43.234493505414875,43.906253814697266,5232000,0.0,0.0,0.0
1999-03-11,44.22869364265692,44.48396253063095,43.26135890928168,44.121212005615234,9688600,0.0,0.0,0.0
1999-03-12,43.959992131341565,43.98686254217979,42.69708282194483,43.0463981628418,8743600,0.0,0.0,0.0
1999-03-15,43.36884615259263,44.33618101101477,42.91204913611551,44.282440185546875,6369000,0.0,0.0,0.0
1999-03-16,44.470552657915796,44.84673860184982,43.9868850157149,44.65864562988281,4905800,0.0,0.0,0.0
1999-03-17,44.65863044045188,44.712371271306814,44.20183337818492,44.336185455322266,3965000,0.0,0.0,0.0
1999-03-18,44.28244693497557,45.22291152400721,44.26901172656083,45.196041107177734,4848400,0.0,0.0,0.0
1999-03-19,45.7871922509855,45.7871922509855,44.01374466379944,44.04061508178711,7160400,0.0,0.0,0.0
1999-03-22,44.22870559174018,44.336187257819745,43.42259309614346,43.503204345703125,5024800,0.0,0.0,0.0
1999-03-23,43.261368051839085,43.42259054147327,41.89097688994853,41.971588134765625,10962400,0.0,0.0,0.0
1999-03-24,42.3477789438915,43.42259566835575,41.702888909212945,43.39572525024414,8447000,0.0,0.0,0.0
1999-03-25,44.06748116514874,44.981075286865234,43.77862420019426,44.981075286865234,8133800,0.0,0.0,0.0
1999-03-26,44.60489148678987,45.1154294013977,44.30931690464849,44.49740982055664,8256200,0.0,0.0,0.0
1999-03-29,45.0348102951939,46.13649718189017,44.7661061764875,46.10962677001953,5113800,0.0,0.0,0.0
1999-03-30,46.05589364727898,46.43207947636994,45.5990965690971,45.78718948364258,4940600,0.0,0.0,0.0
1999-03-31,46.53957672755302,46.59331757827768,44.98109205653797,45.11544418334961,8256600,0.0,0.0,0.0
1999-04-01,46.432071075973596,46.4858118989782,45.30351379287702,46.055885314941406,8715800,0.0,0.0,0.0
1999-04-05,46.801543486010914,47.78903119843285,46.512686536118785,47.72185516357422,5697200,0.0,0.0,0.0
1999-04-06,47.668142050228354,48.33990278938039,47.26508560673713,47.8159294128418,7522400,0.0,0.0,0.0
1999-04-07,48.25924697347421,48.366728592568805,46.29770742499781,47.318782806396484,11923600,0.0,0.0,0.0
1999-04-08,47.2381987364863,47.92339445194728,46.27086360877668,47.69499588012695,7952400,0.0,0.0,0.0
1999-04-09,47.614387973559,48.098055571484544,47.48003586302413,47.99057388305664,4946800,0.0,0.0,0.0
1999-04-12,46.86201630154752,47.9905740335802,46.80827545716502,47.668128967285156,10934000,0.0,0.0,0.0
